WLK_COURS_FLAG_NM,WLK_COURS_NM,COURS_DC,SIGNGU_NM,COURS_LEVEL_NM,COURS_LT_CN,COURS_DETAIL_LT_CN,ADIT_DC,COURS_TIME_CN,OPTN_DC,TOILET_DC,CVNTL_NM,LNM_ADDR,COURS_SPOT_LA,COURS_SPOT_LO
우면산 둘레길,우면산 둘레길,사당역~(2.4km)우면산~(1.7km)예술의 전당~(2.5km)양재시민의 숲~(3.4km)구룡산~ 교현리,서울 서초구,보통,10~15Km미만,10.5,산모양이 소가 잠을 자고 있는 모양이라 하여 이름지어진 우면산은 서울시 도시자연공원으로 지정관리되고 있으며 산책로가 조성되어 있어 도시민들에게 아늑한 휴식처를 제공하고 있다. 기존 산책로를 정비하고 산사태로 무너진 공간을 정비하면서 새롭게 탄생한 우면산 둘레길은 울창한 삼림뿐만 아니라 아름다운 꽃과 휴식공간이 있어 많은 시민들이 찾아오는 산책로이다.,3시간,"사당역, 서초구청, 양재시민의 숲 인근 편의점","사당역, 서초구청, 양재시민의 숲","사당역, 서초구청, 양재시민의 숲 인근 편의점",서울 서초구 우면동,37.4764703,127.0187489
개화산자락길,개화산무장애숲길,약사사 인근 무장애숲길 출발지 ~ 북카페 1 ~ 북카폐 2 ~ 하늘전망대,서울 강서구,매우쉬움,1Km미만,0.7,"개화산은 강서구 방화동에 위치한 128m 높이의 나지막한 산이다. 개화산 자락길은 방원중학교 주변 개화산 입구부터 하늘길 전망대까지 총 2.1㎞이며, 이중 0.7㎞ 구간은 1.8m 폭으로 목재데크를 깔고 손잡이도 설치해 장애인도 쉽게 오를 수 있도록 했다. 또한 장애인 이용자의 편의를 돕기 위해 7곳의 휠체어 회 차 구간과 차량 3대를 주차할 수 있는 전용 주차장도 마련됐다. 사계절 아름다운 자연을 만끽할 수 있도록 자락길 주변에는 산벚나무, 산사나무, 맥문동 등 14종 3만 7천여 주의 관목·교목·초화류를 조성해 두었다. 또한, 숲속에서 독서를 즐기며 심신을 정화할 수 있도록 북카페도 두 곳에 설치했고, 이 곳에는 건강, 여가, 소설 등 책이 비치되어 있고, 테이블과 의자를 갖춰 누구에게나 편안한 힐링공간으로 꾸며져 있다.",30분,출발지 인근,출발지 인근 및 약사사,약사사,서울특별시 관악구 대학동 197,37.4564293,126.9457572
서울도보관광코스,성균관 유생들의 이야기,"탕평비→ 하마비→ 반수→ 삼문→ 대성전 영역(대성전, 비각, 동무, 서무, 전사청)→ 비천당→ 은행나무 → 명륜당 영역(명륜당, 동재, 서재, 진사식당) → 존경각, 육일각, 향관청 → 정록청",서울 종로구,매우쉬움,1~5Km미만,2.0,"조선시대의 국립대학이자 공자에게 제사를 드리는 사당인 성균관.인기 TV드라마 ‘성균관 스캔들’로 다시 한번 주목을 받으며 성균관유생들의 생활과 이들이 생활한 공간, 그에 얽힌 인물들의 이야기를 알아보는 코스이다.",2시간,사전에 준비 필요,성균관대학교 내 곳곳,성균관대학교 앞,서울 종로구 가회동,37.5825259,126.9850602
동네 골목길 관광 코스,02코스 사직동 오솔길,대림미술관~(640m)통의동 백송터~(175m)통의동 한옥마을~(130m)홍종문가옥-비개방~(585m)배화여고생활관~(375m)사직단~(210m)황학정~(277m)단군성전~(180m)오솔길~(640m)성곡미술관~(522m)서울역사박물관~(573m)서울시립미술관~(150m)경희궁~(81m),서울 종로구,보통,1~5Km미만,4.6,"도심속 오아시스로 - 백성의 복을 빌다, 좌묘우사 사직단 - 도심속 오아시스로 '황학정'가는 길 - '휴(休)' 문화공간 : 대림, 성곡미술관 등 관람여행 - 통의동 배송 나무사랑 이야기",1~2시간,경희궁(서울시립미술관 앞 공원 내),"경복궁역, 배화여고 생활관 옆, 사직공원, 서울역사박물관, 경희궁","슈퍼, 편의점 있음",서울 종로구 세종로 77-9,37.5758462,126.9756294
동네 골목길 관광 코스,03코스 눈길 발길 머무는 길(삼청동),윤보선가~(318m)종친부 경근당과 옥첩당-정독도서관 내~(243m)화개길 벽화골목~(45m)세계 장신구 박물관~(150m)삼청동 전망대~(320m)기기국 번사창-한국금육연수원 내~(321m)삼청공원~(510m)칠보사~(557m)삼청동 카페길~(630m)여덟판서의 동네이야기 팔판길과 판서길-팔판동~(760m)감고당길~(263m),서울 종로구,보통,1~5Km미만,4.2,"눈길 발길 머무는 길 - 여덟 판서의 동네 '팔판동'이 전하는 길이야기 - 예술가의 혼을 입다, 정독도서관 '화개길'벽화골목",3시간,,"안국역, 삼청공원","슈퍼, 편의점 있음",서울 종로구 세종로 77-9,37.5758462,126.9756294
동네 골목길 관광 코스,05코스 한 폭의 그림 속 풍경길(평창동),박종화가옥~(767m)영인문학관~(960m)가나아트센터~(571m)상명대학교박물관~(240m)김종영미술관~(278m)연화정사~(745m),서울 종로구,보통,1~5Km미만,3.6,"한 폭의 그림속 풍경길 - 문인들 자취따라 걷는 문학 산책로 : 박종화 가옥, 영인문학관 - 가나아트센터, 토탈미술관, 김종영 미술관 등 미술관 순례 - 연화정사에서 바라보는 한 폭의 그림 속 풍경 '펑창동 전원주택단지'",2시간 30분,,"경복궁역, 청운효자동 주민센터",,서울 종로구 세종로 77-9,37.5758462,126.9756294
동네 골목길 관광 코스,06코스 인왕산 바위가 전하는 이야기길(무악동),여관골목~(19m)야생화정원~(792m)해골바위~(203m)인왕산 국사당~(72m)선바위~(77m)마애불~(265m)무악공원~(755m),서울 종로구,보통,1~5Km미만,2.1,"인왕산 바위가 전하는 이야기길 -서대문형무소 옥바라지 아낙들의 임시기거 100년 여관골목 - 선바위, 해골바위 등 인왕산 바위가 전하는 이야기 - 쾌적한 동네 환경 조성을 위한 무악동 주민센터의 노력'야생화 정언' - 여러 개의 종단 및 암자들의 하나의 명칭아래 공존하는 곳 '인왕사'",2시간,독립공원,"독립공원, 독립문역","독립공원, 독립문역",서울 종로구 세종로 77-9,37.5758462,126.9756294
동네 골목길 관광 코스,07코스 역사·문화 기행길(교남동),돈의문터~(278m)경교장~(50m)홍난파가옥~(520m)권율도원수 집터 및 행촌동 은행나무~(155)딜쿠샤~(47m)서울성곽-밖~(599m)서울성곽-안~(245m)전망대~(342m)연계코스-사직동방향~(1.71km),서울 종로구,보통,1~5Km미만,4.0,"역사,문화 기행길 - 보이지 않는 문'돈의문'이야기 - 동화속 세계 빨간 벽돌집 '홍난파 가옥' 가는길 - 경교장, 딜쿠샤 등 근,현대사 경험 - 도심 속 황토흙길, 600년의 숨결 '서울성곽'",1~2시간,없음,"서대문역, 강북삼성병원,","정동사거리 일대, 인왕산 입구",서울 종로구 세종로 77-9,37.5758462,126.9756294
동네 골목길 관광 코스,08코스 세월을 거닐는 북촌 한옥마을길(가회동),① 북촌문화센터 → ② 재동초등학교 → ③ 락고재 한옥체험관 → ④ 청원산방 → ⑤ 석정보름우물터 → ⑥ 중앙고등학교 → ⑦ 가회동11번지 → ⑧ 가회민화박물관 → ⑨ 가회동 31번지 → ⑩ 맹사성 집터 및 동양문화박물관 → ⑪ 삼청동 전망대 → ⑫ 정독도서관 '화개길' 벽화골목 → ⑬ 경복궁 돌담길,서울 종로구,보통,1~5Km미만,4.0,"‘북촌 1233동 한옥길 ’세월을 거닐다 가회동에서 만나는 근·현대사의 인물들 : 송진우, 김성수, 조봉암 등 '석정보름우물터’, ‘빨래터’스토리 텔링 옷을 입다",2시간,없음,"북촌문화센터, 가희민화박물관, 정독도서관",북촌일대,서울 종로구 세종로 77-9,37.5758462,126.9756294
동네 골목길 관광 코스,09코스 문화적 갯벌길(종로1.2.3.4가동),고종즉위 40년 칭경기념비~(40m)중학천 물길~(85m)조계사 대웅전 및 백송~(600m)우정총국-사랑메세지 창~(150m)북인사마당~(194m)인사동길~(260m)남인사마당~(275m)서울탑골공원 및 원각사지 십층석탑~(172m)피맛(避馬)골~(175m)귀금속상가~(345m)서순라길~(109m)종묘~(271m)도착~(676m),서울 종로구,보통,1~5Km미만,3.4,"문화적 갯벌길 - 문화적 갯벌 '인사동길', '피맛골', '순라길' 탐방 - 손 엽서로 사랑을 전하세요, '우정총국 사랑메시지 창' - 금 천지 귀금속 도매상가 골목 속으로",3시간,"조계사, 종묘","종로구청, 조계사, 남인사마당, 종로3가역",코스 곳곳에 위치,서울 종로구 세종로 77-9,37.5758462,126.9756294
동네 골목길 관광 코스,"10코스 문화유적과 자연, 쇼핑재미와 먹거리가 넘치는 길(종로5.6가동)","흥인지문-동대문~(65m)야생화정원~(333m)서울성곽길~(272m)종로꽃시장골목~(1.07km)전태일동상~(177m)청계천로~(200m)광장시장~(280m)광장시장 먹자골목~(83m)테라코타 작품""평화""~(335m)",서울 종로구,보통,1~5Km미만,2.9,"문화유적과 자연, 쇼핑재미와 먹거리가 넘치는 길 - 자연속을 걷는 서울 한양도성길 산책로 - 시장따라 골목따라 종로의 맛집은 다 모였네 : 광장시장 - 등산용품, 액세사리 등 쇼핑 삼매경",3시간,,,,서울 종로구 세종로 77-9,37.5758462,126.9756294
동네 골목길 관광 코스,11코스 타임머신 타고 추억여행길(이화동),서울경모궁지~(397m)대한의원-서울대학교 의학박물관~(348m)구 공업전습소 본관~(766m)쇳대박물관~(285m)이화장~(447m)이화 벽화마을~(419m)홍덕이 밭~(459m)낙산공원 및 팔각정~(80m)마로니에 공원~(383m)구 서울대학교 본관~(56m),서울 종로구,보통,1~5Km미만,3.6,"타임머신 타고 추억여행길 - 오래된 집들, 그리고 비좁은 골목길과 마주하는 70-80년대 시간여행 - 문화예술이 살아있는 거리, 대학로 - 아름다움이 묻어나오는 대학로 뒷골목 : 낙산공원 가는 길 등",3시간,사전에 준비 필요,"서울대학병원, 마로니에공원",마로니에 공원 일대 분포,서울 종로구 세종로 77-9,37.5758462,126.9756294
동네 골목길 관광 코스,12코스 문학·예술의 '흥(興)'길/인과 예의 고장길(혜화·명륜동),창경궁~(900m)거둥길~(156m)탕평비 및 하마비~(89m)서울문묘와 성균관~(525m)성균관대 엘리베이터~(10m)하늘계단~(141)양현고 터~(261m),서울 종로구,쉬움,1~5Km미만,2.0,"인과 예의 고장길 - 왕의 문묘 행차길 '거둥길'을 걷다 - 문묘, 공자의 인과 예를 배우다 - 하늘로 가는 계단 성균관대 엘리베이터",3시간,,,,서울 종로구 세종로 77-9,37.5758462,126.9756294
동네 골목길 관광 코스,14코스 마음을 여는 사람의 추억길(창신동),"안양암 석감마애관음보살상~(399m)돌계단위 붉은 벽돌집~(43m)당고개공원~(228m)절개지~(164m)창신시장~(504m)문구,완구도매상가~(295m)수족관상가~(222m)청계천로~(215m)",서울 종로구,보통,1~5Km미만,4.6,"마음을 여는 사람의 추억길 - 새벽의 문을 여는 사람들 : 인력시장, 문구, 완구, 신발 도매상가 - 일상의 냄새를 풍기는 소박한 삶의 터전 창신골 골목길 - 길에서 만나는 소소한 즐거움 '사다리집 대문' - 아픈 역사의 흔적 일제 강점기 채석장 '창신동 절개지'",2시간,,,,서울 종로구 세종로 77-9,37.5758462,126.9756294
동네 골목길 관광 코스,15코스 단종애사 정순왕후의 숨결길(숭인동),자주동샘 및 비우당~(66m)정업원 터 및 청룡사~(402m)동망정~(221m)낙산묘각사~(643m)풍물거리시장~(126m)동묘-서울동관왕묘~(332m)여인시장 터~(190m)청계천로-영동교~(148),서울 종로구,보통,1~5Km미만,2.1,단종애사 정순왕후의 숨결길 - '영영이별 영이별' 정순왕후의 애절한 삶과 사랑 - 도심속 보물창고 '풍물거리시장',2시간,,동묘역,,서울 종로구 세종로 77-9,37.5758462,126.9756294
동네 골목길 관광 코스,세종한울길,세종벨트 인포센터 → 광화문 광장 '세종이야기'홍보관 → 세종대왕 동상 → 세종대왕 생가 터 → 맹사성 집터 → 경복궁 → 관상감 관천대,서울 종로구,보통,1~5Km미만,4.0,세종한울길은 세종대왕의 우수한 업적과 숨결을 그대로 느낄 수 있는 우리 종로의 길입니다. 백성을 사랑하고 나라를 염려하며 끊임없이 조선을 발전시키려 했던 세종대왕의 깊은 뜻과 마음이 담겨있는 세종한울길을 따라 걸으며 세종대왕과 한층 가깝게 만날수 있습니다.,1시간30분,,"광화문역, 안국역, 세종이야기, 고궁 박물관, 개방화장실(삼청동)","세종이야기(카페, 식사), 거리 중간마다 편의점(가게)가 있음",서울 종로구 세종로 77-9,37.5758462,126.9756294
동네 골목길 관광 코스,"사랑,평화,화합을 찾아가는 종교문화유적길",서울명동교회~승동교회~천도교중앙대교당~조계사~대한성공회 서울주교좌성당,서울 종로구,쉬움,5~10Km미만,6.95,"종교문화유적길은 역사,문화적 가치가 높은 각 종교별 최고의 성전을 도보여행코스로 연결한 길로써, 도심속을 여유롭게 걷는 동안 인류의 화합과 평화를 생각해보게 만드는 길이다. 또 일제 강점기를 겪으며 항일 운동의 본거지가 되고 시대적 아픔을 함께 했던 종교건축물이 우리 민족의 역사와 동행하였음을 느껴볼 수 있는 길이다.",2시간,"경희궁, 서대문독립공원","남인사마당, 안국역",출발지 및 각 경유지 부근,서울 종로구 세종로 77-9,37.5758462,126.9756294
동네 골목길 관광 코스,윤동주 시인의 언덕까지 문학둘레길,남인사마당 → 한용운 가옥(만해당) → 시인마을 보안여관 → 세종대왕 생가 터 → 이상 집 터 → 윤동주 하숙집 터 → 정철 생가 터 → 현진건 생가 터 → 윤동주 시인의 언덕,서울 종로구,보통,5~10Km미만,5.0,#NAME?,2시간30분,윤동주 시인의 언덕,"종로3가역, 안국역, 윤동주문학관","슈퍼, 편의점 있음",서울 종로구 세종로 77-9,37.5758462,126.9756294
동네 골목길 관광 코스,북촌코스,"북촌문화센터 → 청원산방 → 인촌기념관 → 석정보름우물터 → 중앙고교 → 가회동11번지(북촌3경 및 공방) → 가회동 31번지(북촌5,6경) → 동양문화박물관(맹사성 집터) → 삼청동 돌계단길(북촌8경) → 화개길 → 서울교육박물관",서울 종로구,보통,1~5Km미만,4.0,"북촌여행의 백미이자 북촌 중에서도 특히 잘 보존된 한옥들이 있는 가회동 31번지 지역을 북촌 5,6,7경과 함께 둘러보는 코스",2시간30분,없음,"안국역, 정독도서관, 서울교육박물관","경복궁역, 북촌일대",서울 종로구 세종로 77-9,37.5758462,126.9756294
서울도보관광코스,경복궁 ~ 효자동 코스,경복궁 광화문-흥례문-근정문-근정전-사정전-경회루-강녕전-교태전-자경전-향원정→청와대앞길→청와대 사랑채,서울 종로구,매우쉬움,1~5Km미만,2.0,"조선왕조의 찬란했던 600년 역사를 마주하고, 이와 함께 전·현직 대통령의 주요 정책 및 활동모습을 만나볼 수 있는 코스다. 조선 최대 궁궐인 경복궁의 운치 있는 돌담길·전각·연못 등을 둘러보고 청와대 앞길로 이동하면 가로수 산책길에서의 여유로운 도보관광을 즐길 수 있다",2시간,없음,경복궁,광화문 앞 일대,서울 종로구 가회동,37.5825259,126.9850602
서울도보관광코스,경희궁 ~ 서대문,경희궁-(40분)-경교장(25분)-한양도성(25분)-홍난파가옥(25분)-권율장군집터(40분)-독립문(25분)-서대문독립공원(서대문형무소),서울 종로구,쉬움,5~10Km미만,5.52,"슬프고도 의연한 역사의 현장. 일제 강점기 수탈의 현장과 민족의 항일정신, 그리고 독립운동가들이 탄압 받았던 현장 그대로를 돌아보며, 슬픈 역사를 마주하는 코스다. 축소 복원된 경희궁을 돌아보는 도보길을 비롯해 백범 김구 선생의 경교장, 흉난과 가옥, 독립 정신을 상징하는 독립문 등을 볼 수 있는 역사가 담겨있는 코스다.",2시간 30분,"경희궁, 서대문독립공원","경희궁, 경교장, 서대문독립공원",출발지 및 각 경유지 부근,서울 종로구 가회동,37.5825259,126.9850602
서울도보관광코스,덕수궁 ~ 정동,덕수궁 ~ 서울시립미술관 ~ 배재학당 역사박물관 ~ 정동제일교회 ~ 중명전 ~ 이화학당 ~ 손탁호텔터-구러시아공사관,서울 종로구,쉬움,1Km미만,2.3,"돌담길을 이어가는 정동길은 낭만이 가득하고 연인들이 걷기엔 더없이 좋은 곳으로 숨겨진 옛 덕수궁터는 가슴 아픈 한국 근대사의 역사적 현장임을 실감케 합니다. 서울시립미술관,서울역사박물관도 있어 문화산책 코스로 제격입니다.",1시간,없음,"시청역, 덕수궁, 서울시립미술관",덕수궁 및 정동 주변에 다수 분포,서울 종로구 가회동,37.5825259,126.9850602
서울도보관광코스,동대문전통마켓코스,제기동역-선농단-한의약박물관-서울약령시-경동시장-(버스 혹은 도보 이동)-답십리 고미술/고가구상가(장한평구역),서울 종로구,보통,1~5Km미만,2.5,"조선시대 여행자들에 대한 무료숙박과 가난한 사람들의 치료를 담당했던 보제원이 있던 자리에 개설된 서울약령시의 한약재 시장을 시작으로, 할아버지의 할아버지가 쓰던 고가구까지 고스란히 그 손길을 느낄 수 있는 골동품거리까지 옛서울의 정취를 느낄 수 있는 전통시장 코스입니다. * 경동시장~답신리 고미술 구간은 버스로 이동(지도에 표기된 루트는 도보 이동시 추천 코스)",1시간,없음,"약령시장, 제기동역, 신답역, 답신리역",코스 곳곳에 위치,서울 종로구 가회동,37.5825259,126.9850602
서울도보관광코스,몽촌토성,강동구청역-풍남토성-몽촌역사관-곰말다리-평화의광장-한성백제박물관-몽촌토성역,서울 송파구,보통,1Km미만,4.0,"풍납토성과 몽촌토성을 중심으로 도심속의 휴식공간 올림픽공원을 돌아보는 코스로써 도보관광 코스 중간중간의 공원녹지공간, 음악분수, 각종 예술조각품 등을 통해 상쾌한 기분을 느낄수있습니다. 삼국 역사의 숨결과 88 서울올림픽의 감동이 살아있는 코스, 夢(몽)촌토성 도보관광으로 백제 역사의 한 가운데로 꿈같은 여행을 시작해 보세요.",2시간 30분,사전 준비 필요,평화의 문 부근,평화의 문 부근,서울 종로구 가회동,37.5825259,126.9850602
서울도보관광코스,북촌한옥마을,안국역-북촌1경-북촌2경-한상수자수공방-북촌3경-가회민화박물관-북촌4경-북촌5경-북촌6경-북촌7경-북촌생활사박물관-북촌8경-안국동윤보선家-안국역,서울 종로구,쉬움,1~5Km미만,3.5,"서울에서 유일하게 전통한옥들이 모여있는 북촌마을은 굽이굽이 미로 같은 골목길 사이로 한옥들과 역사문화자원, 박물관, 공방들이 발길 닿는 곳곳에 자리하고 있어 국내외 관광객들에게 한국 고유의 다양한 문화를 체험하고 알릴 수 있는 코스입니다.",3시간 30분,사전에 준비 필요,"안국역, 한국불교미술박물관, 북촌생활사박물관, 정복도서관",곳곳에 위치,서울 종로구 가회동,37.5825259,126.9850602
북한산둘레길,18코스 도봉옛길(무장애 탐방구간),도봉사~(0.05km)산정약수터입구~전망데크(0.3km),서울 도봉구,매우쉬움,1Km미만,0.3,"도봉산 주탐방로와 만나는 도봉옛길은 조상의 정취를 간직한 볼거리가 가득한 구간이다. 도봉산에서도 이름난 사찰인 도봉사, 광륜사, 능원사를 지나는가하면 도봉계곡 옆에 있는 우암 송시열의 '道峰洞門(도봉동문)'이란 바위글씨가 명산의 입구임을 알려준다. 세종이 재위 당시 찾았다가 물 좋고 풍광이 좋아 아무런 근심이 없는 곳이라하여 그 이름이 유래된 무수골에는 세종의 아홉째 아들인 영해군의 묘를 비롯해 단아한 모양새를 한 왕족묘가 있다. 산정약수터입구에서 시작하는 220m의 무장애 탐방로는 휠체어 통행이 가능하며, 탐방로 끝 전망데크에 서면 선인봉과 도봉절경이 한눈에 들어온다.",왕복 20분,사전 준비 필요,도봉사 앞 화장실,코스 내 없음,서울 은평구 불광동,37.6261212,126.9362684
서울도보관광코스,세종마을,경복궁역-통의동백송터-통의한옥마을-통인시장-옥인동윤씨가옥-옥류동-배화여고-사직공원-경복궁역,서울 종로구,쉬움,1~5Km미만,4.0,"조선시대 중인계급과 근대 문인들의 삶의 터전이었던 경복궁 서쪽 한옥마을 코스인 서촌은 거미줄처럼 얽힌 골목을 따라 옛 문인들의 정취와 근현대 소시민의 삶을 엿볼 수 있으며, 화려하고 눈에 띄는 곳은 아니지만 어린 시절 추억을 떠올리며 소박한 여유를 찾을 수 있는 코스입니다.",2시간 30분,사전에 준비 필요,"경복궁역, 청운효자동주민센터, 통인시장",곳곳에 위치,서울 종로구 가회동,37.5825259,126.9850602
서울도보관광코스,선릉 ~ 봉은사,홍살문-정자각-성종릉-비각-정현왕후릉-정릉-재실-(버스 혹은 도보)-봉은사-대웅전-미륵대불-판전,서울 강남구,쉬움,1~5Km미만,3.8,"조선의 문물과 제도를 완성한 성종과 그의 비 정현왕후의 묘인 선릉, 왕도정치를 실현하고자 노력한 중종의 묘인 정릉을 돌아보며 조선 왕조의 역사와 세계문화유산으로 등재된 조선왕릉에 대해 배우고, 조선 시대 대표적인 사찰 봉은사에서 문정왕후와 보우스님, 서산대사 휴정, 추사 김정희 등 여러 역사적 인물의 발자취를 느낄 수 있는 코스이다.",2시간 30분,,"선릉역, 봉은사, 선정릉, 선정릉역",코스 곳곳에 위치,서울 종로구 가회동,37.5825259,126.9850602
서울도보관광코스,성북동,최순우옛집-선잠단지-길상사-이종석별장-심우장-이태준가옥(수연산방),서울 성북구,보통,1~5Km미만,4.0,"성북동 뒷골목을 사이에 두고 숨어있는 역사·문화의 흔적을 찾아가는 코스로, 혜곡 최순우, 만해 한용운, 상허 이태준 등 역사·문화 관련 선인들의 발자취를 느낄 수 있으며, 선잠단지, 길상사, 서울성곽, 이태준가옥 등을 통해 역사, 종교, 건축양식에 대한 이야기도 함께 들을 수 있습니다",3시간,,한성대역,코스 곳곳에 위치,서울 종로구 가회동,37.5825259,126.9850602
서울도보관광코스,인사동 ~ 운현궁 코스,운현궁 ~ 천도교 중앙대교당 ~ 민가다헌 ~ 경인미술관 ~ 쌈지길 ~ 조계사 ~ 보신각,서울 종로구,쉬움,1~5Km미만,1.7,"흥선대원군의 사저였던 운현궁을 시작으로 일제강점기 말부터 골동품 상점과 전통찻집, 한국대표기념품 샵 등이 밀집해 있는 인사동을 돌아보며 과거로의 시간여행을 할 수 있는, 한국 고유의 맛과 멋을 동시에 즐길 수 있는 코스입니다",3시간,조계사,"종각역, 조계사, 안국역",곳곳에 위치,서울 종로구 가회동,37.5825259,126.9850602
서울도보관광코스,창경궁,창경궁 홍화문-옥천교-명정전-문정전-숭문당-빈양문-경춘전-영춘헌-통명전-자경전-춘당지-홍화문,서울 종로구,쉬움,1~5Km미만,1.2,"창경궁은 성종 14년(1483) 세 명의 대비들을 위해 지은 궁궐로써 창덕궁과 인접해 하나의 궁궐처럼 사용했습니다. 일제강점기에는 식물원과 동물원이 들어서 유원지로 변했고 창경원이라 불렸지만, 1983년부터 복원 작업을 시작해 창경궁이라는 이름을 회복했습니다. 유명한 역사속 이야기인 숙종 때의 인현왕후와 장희빈, 영조 때 뒤주에 갇혀 죽음을 당한 사도세자의 이야기 등이 창경궁과 관련있습니다",2시간,사전에 준비 필요,창경궁,창경궁 맞은편,서울 종로구 가회동,37.5825259,126.9850602
서울도보관광코스,창경궁 ~ 생태코스,옥천교 일원 나무들 → 선인문 앞 사도세자 회화나무 →함인정 옆 신갈나무 → 통명전과 버드나무 상자 → 환경전과 대장금 → 자판기 앞 느티나무 → 춘당지 능수버들 → 춘당지 백송,서울 종로구,보통,1~5Km미만,2.0,창경궁에 있는 나무들에 얽혀 있는 역사와 나무의 생태적 특징을 알아보는 코스. 일상의 삶에 지친 현대인들에게 창경궁의 역사와 생태뿐만 아니라 휴식까지 동시에 느낄 수 있는 코스이다.,2시간,사전에 준비 필요,창경궁,창경궁 맞은편,서울 종로구 가회동,37.5825259,126.9850602
서울도보관광코스,창덕궁,창덕궁 돈화문-인정전-선정전-희정당-대조전-낙선재-돈화문,서울 종로구,쉬움,1~5Km미만,1.5,"창덕궁은 1405년 태종이 지은 조선 왕조의 두 번째 궁궐로 임진왜란 때 전소하고 1610년 중건돼 조선의 궁궐 중 가장 오래 왕들이 거처했던 궁이며, 후원이 아름답기로 손꼽히는 궁입니다. 일제강점기를 거치며 훼손됐으나 1991년부터 복원 작업에 들어가 1997년 세계문화유산에 등재된 창덕궁, 조선 궁궐의 아름다움이 곳곳에 담겨있는 창덕궁으로 떠나보세요.",2시간,사전에 준비 필요,창덕궁 매포소,창덕궁 앞,서울 종로구 가회동,37.5825259,126.9850602
서울도보관광코스,창덕궁~ 생태코스,돈화문 회화나무 → 봉모당 향나무 → 구선원전 측백나무 → 금천교 느티나무 → 대조전 화계 → 성정각 살구나무 → 자시문 매화나무 → 낙선재 소나무 → 낙선재 쉬나무,서울 종로구,보통,1~5Km미만,2.0,창덕궁에 있는 나무들에 얽혀 있는 역사와 나무의 생태적 특징을 알아보는 코스. 궁궐에 심겨진 풀 한 포기도 의미가 있다고 하는데 드넓은 창덕궁에 심겨있는 나무들에는 어떤 사연이 있는 것일까요?,2시간,사전에 준비 필요,창덕궁 매표소,창덕궁 앞,서울 종로구 가회동,37.5825259,126.9850602
서울도보관광코스,01코스 청계천,청계광장-광통교-삼일교-수표교-새벽다리-오간수교-동대문 DDP,서울 종로구,쉬움,1~5Km미만,2.7,"분수와 폭포, 청계천 미니어처 등으로 꾸며져 환상적인 공간을 연출하는 청계광장을 비롯하여 95년 만에 복원된 조선시대 대표적인 석교인 광통교, 정조가 어머니 혜경궁 홍씨를 모시고 화성과 현륭원을 다녀온 모습을 그린 정조반차도, 빨래터, 소망의 벽, 하늘물터, 버들습지로 이루어진 ‘청계천 8경’을 감상할 수 있습니다.",2시간,없음,청계천에서 공공화장실 이정표로 안내,청계천 곳곳에 위치,서울 종로구 가회동,37.5825259,126.9850602
서울도보관광코스,02코스 청계천,청계천문화관-판잣집테마존-두물다리-고산자교-무학교-비우당교-황학교-서울풍물시장,서울 종로구,쉬움,1~5Km미만,2.3,"분수와 폭포, 청계천 미니어처 등으로 꾸며져 환상적인 공간을 연출하는 청계광장을 비롯하여 95년 만에 복원된 조선시대 대표적인 석교인 광통교, 정조가 어머니 혜경궁 홍씨를 모시고 화성과 현륭원을 다녀온 모습을 그린 정조반차도, 빨래터, 소망의 벽, 하늘물터, 버들습지로 이루어진 ‘청계천 8경’을 감상할 수 있습니다.",2시간 30분,,,,서울 종로구 가회동,37.5825259,126.9850602
서울도보관광코스,한강 ~ 절두산코스,합정역-망원정-한강-양화나루터-잠두봉 유적-절두산 순교성지-양화진외국인 선교사묘원,서울 마포구,쉬움,1~5Km미만,3.0,"망원정을 통해 조선시대 왕에 얽힌 일화 및 선조들의 풍류생활을 감상하고, 한강을 따라 걸으며 한강의 역사와 기능에 대한 이야기를 듣다보면 어느덧 조선시대 삼진의 하나였던 양화나루터 및 잠두봉 유적지에 이르게 되는 코스입니다.",2시간,사전준비 필요,절두산성지,,서울 종로구 가회동,37.5825259,126.9850602
서울도보관광코스,낙산성곽,동대문역-흥인지문(동대문)-한양도성-비우당(자주동샘)-낙산공원(전망대)-낙산전시관-이화장,서울 종로구,쉬움,1~5Km미만,2.5,"서울의 몽마르뜨르’라 불리는 낙산공원 및 성곽은 연인들의 데이트장소나 각종 영화, 드라마 촬영지 등으로 각광받고 있는 곳으로, 동대문부터 낙산까지 이어지는 성곽 탐방로를 따라 서울을 한눈에 볼 수 있는 낙산공원 전망대에 오르고, 초대 대통령 내외의 사저였던 이화장까지 관람하는 코스입니다. 아름다운 자연경관 감상은 물론 곳곳에 얽혀있는 역사에 대한 이야기도 들을 수 있습니다.",1시간30분,사전 준비 필요,"낙산성곽 중심부, 한양도성박물관",,서울 종로구 가회동,37.5825259,126.9850602
서울도보관광코스,남산성곽,동대입구역-장충단공원-한양도성-국립극장-봉수대-N서울타워-안중근기념관,서울 중구,보통,5~10Km미만,6.0,"수표교, 봉수대 등 조선시대 역사유적과 국립극장ㆍN서울타워 등 현대문화시설, 전통가옥과 정원, 전통문화를 체험할 수 있는 남산골한옥마을까지. 남산 동쪽 기슭부터 정상까지 이어져 있는 한양도성길은 역사와 문화를 함께 즐길 수 있는 코스입니다.",2시간 30분,사전 준비하거나 매점에서 구입,N서울타워,N서울타워 부근,서울 종로구 가회동,37.5825259,126.9850602
